bank_id,size_tier,total_assets_usd,total_loans_usd,deposit_base_usd,baseline_car_pct,baseline_liquidity_ratio_pct,baseline_roa_pct,sector_concentration,bank_risk_factor,sector_wt_Technology,sector_wt_Healthcare,sector_wt_Real_Estate,sector_wt_Energy,sector_wt_Industrials,sector_wt_Retail,sector_wt_Telecom,sector_wt_Consumer,sector_wt_Utilities,sector_wt_Financials
BANK_001,medium,32427758012.0,22425587704,26039482274,13.79295552,131.7244466,1.584490632,concentrated,0.079334724,0.0378,0.2963,0.0331,0.0099,0.0001,0.1627,0.2649,0.1118,0.0071,0.0763
BANK_002,medium,22127519267.0,13812925912,17464456027,14.6976932,118.0302903,1.130680675,diversified,-0.007971821,0.0901,0.0461,0.1356,0.1507,0.1117,0.0835,0.0657,0.0796,0.1349,0.1023
BANK_003,large,49861173736.0,28166601290,38665433947,16.383202,115.2128875,1.1656044605,diversified,0.017927563,0.0576,0.0618,0.2311,0.1738,0.1003,0.092,0.031,0.1315,0.0399,0.081
BANK_004,medium,27001020572.0,17118064881,17667373015,13.62472145,123.1409713,1.236546065,diversified,-0.103565375,0.1544,0.0543,0.0667,0.0465,0.1088,0.0623,0.2009,0.0636,0.1467,0.0959
BANK_005,small,2782358312.0,1848267249,2360761783,13.81065825,151.5818251,1.363996645,diversified,-0.011863833,0.0981,0.0898,0.0601,0.043,0.2449,0.1333,0.1399,0.0753,0.0539,0.0619
BANK_006,large,99469276659.0,60050391987,78136273446,9.809690218,119.025632,0.962707892,concentrated,-0.121881306,0.0778,0.0025,0.0137,0.0119,0.1634,0.0073,0.2073,0.0181,0.487,0.011
BANK_007,medium,18384768014.0,12624841695,14835638001,13.62472145,144.12,1.008366465,concentrated,-0.065414644,0.1246,0.0046,0.032,0.0462,0.4572,0.0599,0.0035,0.0349,0.0702,0.167
BANK_008,medium,11790860111.0,7548872160,8026305883,11.02518754,115.2365251,1.193445004,concentrated,0.023216989,0.2645,0.0387,0.0409,0.2641,0.0165,0.1462,0.004,0.21,0.0067,0.0084
BANK_009,small,4116788569.0,2677948111,3336266765,13.62472145,121.049336,1.183131526,concentrated,-0.010348827,0.049,0.0767,0.3301,0.0135,0.0229,0.0449,0.0051,0.0017,0.0049,0.4512
BANK_010,medium,22889624802.0,14590256297,17317018726,13.61978247,106.0515235,1.695833574,concentrated,-0.117830362,0.0466,0.093,0.0063,0.0314,0.0259,0.1118,0.475,0.0501,0.062,0.0979
BANK_011,small,6574907650.0,4578254433,4960941104,13.62966043,128.2778057,1.946483873,diversified,-0.206323828,0.1606,0.2179,0.0264,0.0372,0.1892,0.0532,0.0862,0.0543,0.055,0.12
BANK_012,large,73180096007.0,41738612439,54583124549,13.5205669,146.5792118,1.642717593,diversified,0.084182007,0.1674,0.1226,0.1205,0.0873,0.0893,0.0693,0.0953,0.0366,0.1679,0.0438
BANK_013,medium,30350609520.0,21081251885,24592988484,10.83206628,73.3276776,1.028694224,concentrated,0.07494339,0.0052,0.0468,0.0226,0.3768,0.0044,0.0161,0.1707,0.3555,0.0007,0.0012
BANK_014,large,81459034287.0,55494653633,55768937722,12.41099872,109.3219952,0.872099035,concentrated,-0.065428328,0.2268,0.0119,0.0565,0.092,0.0077,0.011,0.1267,0.0856,0.0872,0.2945
BANK_015,medium,29038933937.0,19113119032,20139247141,9.768629815,97.65231774,1.116529886,diversified,-0.029319159,0.0846,0.055,0.1234,0.1264,0.063,0.1868,0.0713,0.124,0.0832,0.0823
BANK_016,small,9849974036.0,5795239982,6630720269,14.69805343,141.7057401,1.1656044605,diversified,-0.028624873,0.1156,0.0787,0.1345,0.1697,0.0945,0.1076,0.0995,0.0909,0.056,0.0531
BANK_017,medium,29305164920.0,16979677933,23949964230,16.43208651,100.5970096,0.944921738,diversified,0.133578434,0.0212,0.018,0.18,0.0535,0.2873,0.0599,0.0273,0.0915,0.135,0.1264
BANK_018,small,4676114439.0,2928191065,3093818768,11.68463512,134.1369928,1.565066388,diversified,0.038503794,0.2616,0.1399,0.0952,0.0899,0.0378,0.0845,0.016,0.0338,0.139,0.1022
BANK_019,large,109355000000.0,74434075495,87733770007,14.15421781,71.8,0.837460936,concentrated,-0.029377892,0.1048,0.1443,0.0683,0.1711,0.0521,0.0007,0.0837,0.0375,0.1731,0.1643
BANK_020,medium,17177996084.0,9781111325,13991763276,14.30657886,86.28805365,1.515213776,concentrated,-0.103430805,0.0675,0.1562,0.216,0.045,0.0013,0.0822,0.0746,0.06,0.0043,0.2929
BANK_021,medium,27145803411.0,18221726228,19136841577,13.15813709,97.73223916,1.531824457,concentrated,0.052450738,0.1925,0.1379,0.0651,0.0,0.0811,0.0273,0.0793,0.1793,0.1799,0.0576
BANK_022,small,2963573920.0,2036755809,2094974632,13.35314201,85.88695568,0.653736664,concentrated,0.048206684,0.0294,0.0081,0.1048,0.4749,0.0079,0.0025,0.0003,0.1222,0.0526,0.1974
BANK_023,large,74952765865.0,50682614414,56405435086,13.0576293,139.0410731,0.399289084,diversified,-0.082670505,0.0985,0.0327,0.103,0.1051,0.1052,0.133,0.1657,0.0633,0.1312,0.0623
BANK_024,large,22127519267.0,40505199273,55170953464,11.65989549,118.0764213,1.1656044605,diversified,-0.228073785,0.0614,0.2112,0.0562,0.2045,0.0617,0.0994,0.1133,0.0561,0.1001,0.0361
BANK_025,medium,14806292856.0,9863270039,11457462058,14.42933563,112.5656661,0.942747751,diversified,0.001145129,0.1111,0.0424,0.1221,0.1291,0.1108,0.1461,0.0282,0.1641,0.0466,0.0997
BANK_026,small,4502781271.0,2824404508,3550979248,14.21458435,121.2077186,1.1656044605,concentrated,-0.005119711,0.1971,0.1844,0.0131,0.0249,0.0005,0.0002,0.1329,0.1407,0.3009,0.0053
BANK_027,medium,24312010257.0,17476065674,19331790428,13.62472145,117.3554269,0.802317648,diversified,-0.03191066,0.1005,0.1025,0.0472,0.0608,0.1344,0.0256,0.1738,0.1765,0.0565,0.1223
BANK_028,small,5394979671.0,2978675525,4351547583,16.31058876,97.4443847,1.148077395,concentrated,-0.075289192,0.0856,0.0047,0.0517,0.0102,0.0138,0.3618,0.0184,0.1992,0.0483,0.2063
BANK_029,small,3656172358.0,2072964250,2624749869,14.6998308,100.36,0.723080346,diversified,-0.005841124,0.138,0.1422,0.1329,0.0575,0.238,0.0333,0.0422,0.0884,0.0627,0.0648
BANK_030,medium,25745739987.0,15377396802,18302474197,12.72358901,70.0,0.618402855,diversified,-0.083303672,0.0479,0.0854,0.1477,0.1891,0.0289,0.1241,0.1173,0.1431,0.0578,0.0586
BANK_031,medium,20566647581.0,11889639123,16289793478,15.58351396,148.73,1.511765363,diversified,0.136342871,0.0862,0.0673,0.139,0.1322,0.0959,0.0699,0.0912,0.1096,0.0637,0.145
BANK_032,large,46596723176.0,26905562604,34019813228,12.85974303,126.7168251,0.2,concentrated,0.038288574,0.319,0.0629,0.0659,0.0452,0.0057,0.0088,0.0132,0.0005,0.3894,0.0893
BANK_033,small,1394440729.0,878064100,1015969265,14.61026556,100.0057554,0.883364947,diversified,0.110467922,0.1215,0.0574,0.0673,0.0918,0.2163,0.0463,0.0899,0.0783,0.1544,0.0769
BANK_034,small,4328062608.0,2821672673,3373354146,12.18728351,111.71,1.553564151,diversified,0.000299329,0.1037,0.0907,0.0987,0.0287,0.0653,0.1292,0.2017,0.0739,0.1224,0.0856
BANK_035,medium,28161317510.0,18684281893,21827714176,13.62472145,143.7526879,1.381110019,concentrated,-0.050036108,0.159,0.0401,0.2579,0.0251,0.0086,0.0096,0.1667,0.0181,0.1857,0.1292
BANK_036,small,5925376930.0,3661944838,4615654360,13.62472145,122.37,1.477890727,concentrated,-0.01536851,0.0544,0.2753,0.0165,0.0341,0.0176,0.2281,0.149,0.0938,0.1013,0.0298
BANK_037,small,8317447991.0,5728471986,5699708198,13.00193984,108.078222,1.303402251,concentrated,0.079493225,0.0198,0.1629,0.1192,0.0254,0.0291,0.2994,0.0014,0.1285,0.2111,0.0032
BANK_038,medium,26629062776.0,19136899830,17311653539,12.15033599,115.2834128,1.226329701,concentrated,-0.027015513,0.1171,0.0217,0.0933,0.152,0.1786,0.0221,0.1622,0.2448,0.0064,0.0016
BANK_039,small,9294356121.0,5377344018,7571382553,13.8313041,139.2531514,1.409058105,diversified,-0.056148303,0.0182,0.0823,0.2046,0.1956,0.0993,0.0973,0.0142,0.0683,0.1442,0.076
BANK_040,medium,31916136188.0,19685748010,23205389489,14.15917728,128.3494392,0.771804406,concentrated,0.085468573,0.479,0.0075,0.0703,0.0969,0.0466,0.0876,0.0008,0.0362,0.0276,0.1475
