bank_id,size_tier,total_assets_usd,total_loans_usd,deposit_base_usd,baseline_car_pct,baseline_liquidity_ratio_pct,baseline_roa_pct,sector_concentration,bank_risk_factor,sector_wt_Technology,sector_wt_Healthcare,sector_wt_Real_Estate,sector_wt_Energy,sector_wt_Industrials,sector_wt_Retail,sector_wt_Telecom,sector_wt_Consumer,sector_wt_Utilities,sector_wt_Financials
BANK_001,medium,32427758012.0,22425587704.0,26039482274.0,13.79295551718901,131.72444662718556,1.584490631917142,concentrated,0.0793347235199925,0.0378,0.2963,0.0331,0.0099,0.0001,0.1627,0.2649,0.1118,0.0071,0.0763
BANK_002,medium,22127519267.0,13812925912.0,17464456027.0,14.697693196151016,118.03029030981152,1.1306806751823386,diversified,-0.0079718210906399,0.0901,0.0461,0.1356,0.1507,0.1117,0.0835,0.0657,0.0796,0.1349,0.1023
BANK_003,large,49861173736.0,28166601290.0,38665433947.0,16.383202004377647,115.21288745053953,,diversified,0.0179275634956316,0.0576,0.0618,0.2311,0.1738,0.1003,0.092,0.031,0.1315,0.0399,0.081
BANK_004,medium,27001020572.0,17118064881.0,17667373015.0,,123.14097134890687,1.2365460651845248,diversified,-0.1035653752825811,0.1544,0.0543,0.0667,0.0465,0.1088,0.0623,0.2009,0.0636,0.1467,0.0959
BANK_005,small,2782358312.0,1848267249.0,2360761783.0,13.810658251899817,151.5818251282087,1.3639966454293753,diversified,-0.0118638326109882,0.0981,0.0898,0.0601,0.043,0.2449,0.1333,0.1399,0.0753,0.0539,0.0619
BANK_006,large,99469276659.0,60050391987.0,78136273446.0,9.80969021814416,119.02563196139764,0.9627078918828516,concentrated,-0.1218813060423628,0.0778,0.0025,0.0137,0.0119,0.1634,0.0073,0.2073,0.0181,0.487,0.011
BANK_007,medium,18384768014.0,12624841695.0,14835638001.0,,144.12,1.0083664649025563,concentrated,-0.0654146440067796,0.1246,0.0046,0.032,0.0462,0.4572,0.0599,0.0035,0.0349,0.0702,0.167
BANK_008,medium,11790860111.0,7548872160.0,8026305883.0,11.025187544934033,115.2365251205067,1.193445003996418,concentrated,0.0232169889626255,0.2645,0.0387,0.0409,0.2641,0.0165,0.1462,0.004,0.21,0.0067,0.0084
BANK_009,small,4116788569.0,2677948111.0,3336266765.0,,121.04933596712488,1.183131525678578,concentrated,-0.010348826806596,0.049,0.0767,0.3301,0.0135,0.0229,0.0449,0.0051,0.0017,0.0049,0.4512
BANK_010,medium,22889624802.0,14590256297.0,17317018726.0,13.61978246854657,106.05152353399448,1.6958335738379413,concentrated,-0.1178303623114865,0.0466,0.093,0.0063,0.0314,0.0259,0.1118,0.475,0.0501,0.062,0.0979
BANK_011,small,6574907650.0,4578254433.0,4960941104.0,13.62966043181864,128.2778057074539,1.946483872660483,diversified,-0.2063238276804743,0.1606,0.2179,0.0264,0.0372,0.1892,0.0532,0.0862,0.0543,0.055,0.12
BANK_012,large,73180096007.0,41738612439.0,54583124549.0,13.520566900009186,146.5792118087398,1.6427175930266107,diversified,0.0841820066890061,0.1674,0.1226,0.1205,0.0873,0.0893,0.0693,0.0953,0.0366,0.1679,0.0438
BANK_013,medium,30350609520.0,21081251885.0,24592988484.0,10.832066284602924,73.3276776030339,1.0286942239379293,concentrated,0.074943389972774,0.0052,0.0468,0.0226,0.3768,0.0044,0.0161,0.1707,0.3555,0.0007,0.0012
BANK_014,large,81459034287.0,55494653633.0,55768937722.0,12.410998716944285,109.3219952325289,0.872099035484124,concentrated,-0.0654283276687555,0.2268,0.0119,0.0565,0.092,0.0077,0.011,0.1267,0.0856,0.0872,0.2945
BANK_015,medium,29038933937.0,19113119032.0,20139247141.0,9.768629815215675,97.65231774020783,1.1165298860242667,diversified,-0.0293191586648761,0.0846,0.055,0.1234,0.1264,0.063,0.1868,0.0713,0.124,0.0832,0.0823
BANK_016,small,9849974036.0,5795239982.0,6630720269.0,14.698053425364172,141.7057400889182,,diversified,-0.0286248733555691,0.1156,0.0787,0.1345,0.1697,0.0945,0.1076,0.0995,0.0909,0.056,0.0531
BANK_017,medium,29305164920.0,16979677933.0,23949964230.0,16.432086505723184,100.59700960697177,0.944921737714176,diversified,0.1335784336320233,0.0212,0.018,0.18,0.0535,0.2873,0.0599,0.0273,0.0915,0.135,0.1264
 BANK_018 ,small,4676114439.0,2928191065.0,3093818768.0,11.684635124502408,134.13699281798102,1.5650663881541935,diversified,0.0385037937656101,0.2616,0.1399,0.0952,0.0899,0.0378,0.0845,0.016,0.0338,0.139,0.1022
BANK_019,large,109354661490.0,74434075495.0,87733770007.0,14.154217808110332,71.8,0.8374609358938669,concentrated,-0.0293778920152129,0.1048,0.1443,0.0683,0.1711,0.0521,0.0007,0.0837,0.0375,0.1731,0.1643
BANK_020,medium,17177996084.0,9781111325.0,13991763276.0,14.306578855085167,86.28805365230383,1.5152137759713005,concentrated,-0.1034308051674399,0.0675,0.1562,0.216,0.045,0.0013,0.0822,0.0746,0.06,0.0043,0.2929
BANK_021,medium,27145803411.0,18221726228.0,19136841577.0,13.158137086159938,97.73223916156304,1.531824456990591,concentrated,0.0524507375286086,0.1925,0.1379,0.0651,0.0,0.0811,0.0273,0.0793,0.1793,0.1799,0.0576
BANK_022,small,2963573920.0,2036755809.0,2094974632.0,13.353142014566782,85.88695567968966,0.6537366642717288,concentrated,0.0482066835525525,0.0294,0.0081,0.1048,0.4749,0.0079,0.0025,0.0003,0.1222,0.0526,0.1974
BANK_023,large,74952765865.0,50682614414.0,56405435086.0,13.057629299976778,139.0410730627978,0.3992890837523812,diversified,-0.0826705046916894,0.0985,0.0327,0.103,0.1051,0.1052,0.133,0.1657,0.0633,0.1312,0.0623
BANK_024,large,,40505199273.0,55170953464.0,11.659895493034806,118.07642126153335,,diversified,-0.2280737845371923,0.0614,0.2112,0.0562,0.2045,0.0617,0.0994,0.1133,0.0561,0.1001,0.0361
BANK_025,medium,14806292856.0,9863270039.0,11457462058.0,14.429335629782612,112.5656660682861,0.9427477513660548,diversified,0.0011451291670654,0.1111,0.0424,0.1221,0.1291,0.1108,0.1461,0.0282,0.1641,0.0466,0.0997
BANK_026,small,4502781271.0,2824404508.0,3550979248.0,14.214584348097912,121.20771856848836,,concentrated,-0.0051197111816596,0.1971,0.1844,0.0131,0.0249,0.0005,0.0002,0.1329,0.1407,0.3009,0.0053
BANK_027,medium,24312010257.0,17476065674.0,19331790428.0,,117.35542686937656,0.8023176484556522,diversified,-0.0319106597010897,0.1005,0.1025,0.0472,0.0608,0.1344,0.0256,0.1738,0.1765,0.0565,0.1223
BANK_028,small,5394979671.0,2978675525.0,4351547583.0,16.310588763246432,97.44438470216572,1.148077395284042,concentrated,-0.0752891917228621,0.0856,0.0047,0.0517,0.0102,0.0138,0.3618,0.0184,0.1992,0.0483,0.2063
BANK_029,small,3656172358.0,2072964250.0,2624749869.0,14.69983080349716,100.36,0.7230803457762355,diversified,-0.0058411243858682,0.138,0.1422,0.1329,0.0575,0.238,0.0333,0.0422,0.0884,0.0627,0.0648
BANK_030,medium,25745739987.0,15377396802.0,18302474197.0,12.72358901116888,70.0,0.6184028549558498,diversified,-0.0833036722796011,0.0479,0.0854,0.1477,0.1891,0.0289,0.1241,0.1173,0.1431,0.0578,0.0586
BANK031,medium,20566647581.0,11889639123.0,16289793478.0,15.58351396443804,148.73,1.511765362850289,diversified,0.1363428712085699,0.0862,0.0673,0.139,0.1322,0.0959,0.0699,0.0912,0.1096,0.0637,0.145
BANK_032,large,46596723176.0,26905562604.0,34019813228.0,12.859743031972137,126.71682513866048,0.2,concentrated,0.0382885736385049,0.319,0.0629,0.0659,0.0452,0.0057,0.0088,0.0132,0.0005,0.3894,0.0893
bank-033,small,1394440729.0,878064100.0,1015969265.0,14.610265559441604,100.00575542661238,0.8833649469514913,diversified,0.110467921540253,0.1215,0.0574,0.0673,0.0918,0.2163,0.0463,0.0899,0.0783,0.1544,0.0769
BANK_034,small,4328062608.0,2821672673.0,3373354146.0,12.18728351452741,111.71,1.553564151093497,diversified,0.0002993291199955,0.1037,0.0907,0.0987,0.0287,0.0653,0.1292,0.2017,0.0739,0.1224,0.0856
BANK035,medium,28161317510.0,18684281893.0,21827714176.0,,143.75268785442242,1.381110019300947,concentrated,-0.0500361077396899,0.159,0.0401,0.2579,0.0251,0.0086,0.0096,0.1667,0.0181,0.1857,0.1292
bank-036,small,5925376930.0,3661944838.0,4615654360.0,,122.37,1.4778907272780932,concentrated,-0.0153685104362017,0.0544,0.2753,0.0165,0.0341,0.0176,0.2281,0.149,0.0938,0.1013,0.0298
BANK_037,small,8317447991.0,5728471986.0,5699708198.0,13.001939837845716,108.07822200687669,1.3034022506892615,concentrated,0.0794932252915627,0.0198,0.1629,0.1192,0.0254,0.0291,0.2994,0.0014,0.1285,0.2111,0.0032
BANK_038,medium,26629062776.0,19136899830.0,17311653539.0,12.150335991087868,115.28341275650294,1.2263297013939114,concentrated,-0.0270155129337096,0.1171,0.0217,0.0933,0.152,0.1786,0.0221,0.1622,0.2448,0.0064,0.0016
BANK_039,small,9294356121.0,5377344018.0,7571382553.0,13.831304096288818,139.25315144973683,1.4090581053728517,diversified,-0.0561483026782883,0.0182,0.0823,0.2046,0.1956,0.0993,0.0973,0.0142,0.0683,0.1442,0.076
BANK_040,medium,31916136188.0,19685748010.0,23205389489.0,14.159177276011087,128.34943917484028,0.7718044063371851,concentrated,0.0854685730135561,0.479,0.0075,0.0703,0.0969,0.0466,0.0876,0.0008,0.0362,0.0276,0.1475
