bank_id,scenario_id,size_tier,sector_concentration,total_assets_usd,total_loans_usd,baseline_car_pct,baseline_liquidity_ratio_pct,baseline_roa_pct,gdp_shock_pp,unemp_shock_pp,rate_shock_pp,credit_spread_bps,inflation_shock_pp,fx_devaluation_pct,scenario_severity,weighted_pd_multiplier,projected_npl_ratio_pct,stressed_el_rate_pct,incremental_credit_loss_usd,car_after_pct,roa_after_pct,liquidity_after_pct,bank_condition
BANK_001,SCN_0001,medium,concentrated,32427758012.0,22425587704.0,13.79295551718901,131.72444662718556,1.584490631917142,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.722,3.531,2.017,358495484.0,12.12,0.52,104.96,Healthy
BANK_002,SCN_0001,medium,diversified,22127519267.0,13812925912.0,14.697693196151016,118.03029030981152,1.1306806751823386,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.0,4.006,2.22,200476229.0,12.67,0.2,101.74,Healthy
BANK_003,SCN_0001,large,diversified,49861173736.0,28166601290.0,16.383202004377647,115.21288745053953,0.8906010029512541,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.138,4.744,2.626,575099412.0,13.99,-0.2,104.43,Healthy
BANK_004,SCN_0001,medium,diversified,27001020572.0,17118064881.0,15.418764415417758,123.14097134890687,1.2365460651845248,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.84,3.057,1.773,205244116.0,13.44,0.42,99.56,Stressed
BANK_005,SCN_0001,small,diversified,2782358312.0,1848267249.0,13.810658251899817,151.5818251282087,1.3639966454293753,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.984,3.9,2.235,29935537.0,11.92,0.26,141.75,Healthy
BANK_006,SCN_0001,large,concentrated,99469276659.0,60050391987.0,9.80969021814416,119.02563196139764,0.9627078918828516,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.557,2.182,1.129,418870636.0,8.72,0.47,102.18,Stressed
BANK_007,SCN_0001,medium,concentrated,18384768014.0,12624841695.0,14.068089006462612,144.11707241776466,1.0083664649025563,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.098,3.808,2.114,209281442.0,12.05,-0.12,124.61,Healthy
BANK_008,SCN_0001,medium,concentrated,11790860111.0,7548872160.0,11.025187544934033,115.2365251205067,1.193445003996418,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.237,4.954,3.113,182759401.0,9.35,-0.34,99.49,Stressed
BANK_009,SCN_0001,small,concentrated,4116788569.0,2677948111.0,13.974690967841736,121.04933596712488,1.183131525678578,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.964,3.968,2.044,42793248.0,12.08,0.14,101.83,Healthy
BANK_010,SCN_0001,medium,concentrated,22889624802.0,14590256297.0,13.61978246854657,106.05152353399448,1.6958335738379413,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.73,2.782,1.735,160259604.0,11.96,1.01,87.5,Stressed
BANK_011,SCN_0001,small,diversified,6574907650.0,4578254433.0,13.62966043181864,128.2778057074539,1.946483872660483,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.819,2.632,1.462,45463075.0,11.9,1.24,119.53,Healthy
BANK_012,SCN_0001,large,diversified,73180096007.0,41738612439.0,13.520566900009186,146.5792118087398,1.6427175930266107,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.833,3.784,2.082,671864278.0,11.79,0.7,125.1,Healthy
BANK_013,SCN_0001,medium,concentrated,30350609520.0,21081251885.0,10.832066284602924,73.3276776030339,1.0286942239379293,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.23,5.103,3.204,518681109.0,999.0,-0.6,58.74,Critical
BANK_014,SCN_0001,large,concentrated,81459034287.0,55494653633.0,12.410998716944285,109.3219952325289,0.872099035484124,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,2.914,3.274,1.957,805941840.0,10.76,-0.11,97.34,Stressed
BANK_015,SCN_0001,medium,diversified,29038933937.0,19113119032.0,9.768629815215675,97.65231774020783,1.1165298860242667,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.064,4.255,2.42,345900409.0,8.38,-0.09,88.69,Stressed
BANK_016,SCN_0001,small,diversified,9849974036.0,5795239982.0,14.698053425364172,141.7057400889182,1.446612562894892,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.048,4.136,2.386,102170065.0,12.63,0.36,131.16,Healthy
BANK_017,SCN_0001,medium,diversified,29305164920.0,16979677933.0,16.432086505723184,100.59700960697177,0.944921737714176,-7.74,6.76,-0.23,332.0,11.06,26.75,adverse,3.043,4.699,2.463,324015370.0,14.12,-0.18,83.01,Stressed
