scenario_id,stress_intensity,scenario_severity,gdp_shock_pp,unemp_shock_pp,rate_shock_pp,credit_spread_bps,inflation_shock_pp,fx_devaluation_pct
SCN_0001,0.677,adverse,-7.74,6.76,-0.23,332.0,11.06,26.75
SCN_0002,0.89,severe,-9.76,9.41,5.06,460.1,18.19,40.96
SCN_0003,0.195,mild,-2.9,2.7,-0.53,71.3,1.72,8.94
SCN_0004,0.135,mild,-2.01,1.01,0.35,49.8,7.72,6.2
SCN_0005,0.61,adverse,-7.62,6.01,3.95,252.2,5.71,12.31
SCN_0006,0.62,adverse,-8.15,6.86,2.96,335.6,10.32,25.6
SCN_0007,0.044,baseline,-0.22,0.81,1.85,33.3,2.08,0.0
SCN_0008,0.979,severe,-12.45,9.83,1.16,473.5,14.75,37.1
SCN_0009,0.193,mild,-1.39,2.57,1.18,130.3,1.57,11.99
SCN_0010,0.633,adverse,-7.85,5.43,0.84,285.4,11.92,29.74
SCN_0011,0.462,moderate,-5.36,4.26,0.35,246.4,6.83,24.86
SCN_0012,0.166,mild,-1.39,1.71,-0.12,74.1,2.37,5.23
SCN_0013,0.827,severe,-9.52,8.59,2.95,444.1,16.03,27.06
SCN_0014,0.924,severe,-11.46,9.25,-1.6,494.4,14.77,31.25
SCN_0015,0.743,adverse,-10.22,6.43,1.42,372.9,11.78,19.39
SCN_0016,0.879,severe,-9.34,9.2,0.15,430.6,12.2,20.11
SCN_0017,0.536,adverse,-5.93,4.58,3.27,245.1,5.63,19.04
SCN_0018,0.374,moderate,-6.02,4.05,1.04,182.2,0.0,8.12
SCN_0019,0.425,moderate,-6.77,4.08,-0.63,228.6,4.69,16.89
SCN_0020,0.304,moderate,-2.54,2.94,1.11,122.2,7.53,6.83
SCN_0021,0.668,adverse,-8.03,5.9,-1.29,353.5,10.76,15.45
SCN_0022,0.14,mild,-1.23,0.46,-0.49,87.3,2.77,6.95
SCN_0023,0.974,severe,-11.41,10.07,4.88,482.9,12.62,36.24
SCN_0024,0.036,baseline,-0.75,-0.16,1.84,24.5,0.0,5.84
