scenario,sector,gdp_shock_pp,unemp_shock_pp,rate_shock_pp,credit_spread_bps,inflation_shock_pp,fx_devaluation_pct,pd_multiplier,base_lgd,stressed_lgd
baseline,Technology,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5
baseline,Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.35
baseline,Real_Estate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.35
baseline,Energy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,0.45
baseline,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4
baseline,Retail,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,0.45
baseline,Telecom,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5
baseline,Consumer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,0.45
baseline,Utilities,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3
baseline,Financials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4
mild,Technology,-1.8,1.0,0.5,60.0,2.5,5.0,1.451,0.5,0.555
mild,Healthcare,-1.8,1.0,0.5,60.0,2.5,5.0,1.254,0.35,0.3685
mild,Real_Estate,-1.8,1.0,0.5,60.0,2.5,5.0,1.536,0.35,0.378
mild,Energy,-1.8,1.0,0.5,60.0,2.5,5.0,1.573,0.45,0.4928
mild,Industrials,-1.8,1.0,0.5,60.0,2.5,5.0,1.52,0.4,0.4304
mild,Retail,-1.8,1.0,0.5,60.0,2.5,5.0,1.543,0.45,0.4842
mild,Telecom,-1.8,1.0,0.5,60.0,2.5,5.0,1.356,0.5,0.5495
mild,Consumer,-1.8,1.0,0.5,60.0,2.5,5.0,1.547,0.45,0.4851
mild,Utilities,-1.8,1.0,0.5,60.0,2.5,5.0,1.261,0.3,0.3153
mild,Financials,-1.8,1.0,0.5,60.0,2.5,5.0,1.441,0.4,0.4296
adverse,Technology,-6.0,3.6,1.5,250.0,8.0,15.0,2.382,0.5,0.667
adverse,Healthcare,-6.0,3.6,1.5,250.0,8.0,15.0,1.78,0.35,0.406
adverse,Real_Estate,-6.0,3.6,1.5,250.0,8.0,15.0,2.649,0.35,0.4354
adverse,Energy,-6.0,3.6,1.5,250.0,8.0,15.0,2.754,0.45,0.58
adverse,Industrials,-6.0,3.6,1.5,250.0,8.0,15.0,2.597,0.4,0.4924
adverse,Retail,-6.0,3.6,1.5,250.0,8.0,15.0,2.671,0.45,0.554
adverse,Telecom,-6.0,3.6,1.5,250.0,8.0,15.0,2.091,0.5,0.651
adverse,Consumer,-6.0,3.6,1.5,250.0,8.0,15.0,2.685,0.45,0.5571
adverse,Utilities,-6.0,3.6,1.5,250.0,8.0,15.0,1.799,0.3,0.3462
adverse,Financials,-6.0,3.6,1.5,250.0,8.0,15.0,2.354,0.4,0.49
severe,Technology,-9.5,5.8,2.2,420.0,15.0,35.0,3.484,0.5,0.791
severe,Healthcare,-9.5,5.8,2.2,420.0,15.0,35.0,2.4,0.35,0.4494
severe,Real_Estate,-9.5,5.8,2.2,420.0,15.0,35.0,3.744,0.35,0.4907
severe,Energy,-9.5,5.8,2.2,420.0,15.0,35.0,4.088,0.45,0.6849
severe,Industrials,-9.5,5.8,2.2,420.0,15.0,35.0,3.816,0.4,0.5672
severe,Retail,-9.5,5.8,2.2,420.0,15.0,35.0,,0.45,0.6314
severe,Telecom,-9.5,5.8,2.2,420.0,15.0,35.0,,0.5,0.761
severe,Consumer,-9.5,5.8,2.2,420.0,15.0,35.0,3.944,0.45,0.6381
severe,Utilities,-9.5,5.8,2.2,420.0,15.0,35.0,,0.3,0.3852
severe,Financials,-9.5,5.8,2.2,420.0,15.0,35.0,3.328,0.4,0.5552
gfc_like,Technology,-5.5,4.5,-2.0,480.0,9.0,20.0,2.886,0.5,0.7375
gfc_like,Healthcare,-5.5,4.5,-2.0,480.0,9.0,20.0,2.06,0.35,0.4298
gfc_like,Real_Estate,-5.5,4.5,-2.0,480.0,9.0,20.0,3.567,0.35,0.5428
gfc_like,Energy,-5.5,4.5,-2.0,480.0,9.0,20.0,3.43,0.45,0.6341
gfc_like,Industrials,-5.5,4.5,-2.0,480.0,9.0,20.0,3.259,0.4,0.5308
gfc_like,Retail,-5.5,4.5,-2.0,480.0,9.0,20.0,3.277,0.45,0.598
gfc_like,Telecom,-5.5,4.5,-2.0,480.0,9.0,20.0,2.489,0.5,0.715
gfc_like,Consumer,-5.5,4.5,-2.0,480.0,9.0,20.0,,0.45,0.6021
gfc_like,Utilities,-5.5,4.5,-2.0,480.0,9.0,20.0,2.093,0.3,0.3651
gfc_like,Financials,-5.5,4.5,-2.0,480.0,9.0,20.0,3.11,0.4,0.5284
covid_like,Technology,-8.5,6.5,-1.5,340.0,4.0,3.0,2.491,0.5,0.713
covid_like,Healthcare,-8.5,6.5,-1.5,340.0,4.0,3.0,1.836,0.35,0.4193
covid_like,Real_Estate,-8.5,6.5,-1.5,340.0,4.0,3.0,3.186,0.35,0.4735
covid_like,Energy,-8.5,6.5,-1.5,340.0,4.0,3.0,3.286,0.45,0.6003
