loan_id,sector,pd_annual,lgd,ead,rwa,loan_amount
LN_000001,Technology,0.00584,0.5415,2231852.0,1209754.0,2231852.0
LN_000002,Technology,0.0126,0.3865,6319210.0,4045442.0,6319210.0
LN_000003,Technology,0.0119,0.4048,4066620.0,2323031.0,4066620.0
LN_000004,Technology,0.01002,0.5537,418790.0,321615.0,418790.0
LN_000005,Technology,0.00313,0.607,3004580.0,2484953.0,3004580.0
LN_000006,Technology,0.0084,0.5565,4904139.0,3337487.0,4904139.0
LN_000007,Technology,1.07%,0.2877,3155120.0,1818513.0,3155120.0
LN_000008,Technology,0.01164,0.4379,5602466.0,3631067.0,5602466.0
LN_000009,Technology,0.00512,0.3526,1154388.0,683594.0,1154388.0
LN_000010,Technology,0.00866,0.5004,772839.0,548264.0,-772839.0
LN_000011,Technology,0.00674,0.2614,5069373.0,3034437.0,5069373.0
LN_000012,Technology,0.00734,0.6305,689135.0,476484.0,689135.0
LN_000013,Technology,0.0187,0.6018,230757.0,201158.0,230757.0
LN_000014,Technology,0.00735,0.5883,5575863.0,3741733.0,5575863.0
LN_000015,Technology,0.01082,0.5863,969439.0,728270.0,969439.0
LN_000016,technology,0.01712,0.3904,1472676.0,1068249.0,1472676.0
LN_000017,Technology,0.00822,0.3925,494192.0,321642.0,494192.0
LN_000018,Technology,0.0104,0.4421,531326.0,323382.0,531326.0
LN_000019,Technology,0.01162,0.6208,629115.0,456789.0,629115.0
LN_000020,Technology,0.01136,0.4885,1394446.0,925512.0,1394446.0
LN_000021,Technology,0.00596,0.3963,2895467.0,1740653.0,2895467.0
LN_000022,Techno logy,0.01143,0.4308,200957.0,143255.0,200957.0
LN_000023,Technology,0.0217,0.287,4243211.0,2433261.0,4243211.0
LN_000024,Technology,0.00507,0.4036,613331.0,383788.0,613331.0
LN_000025,Technology,0.0169,0.6165,688552.0,565312.0,688552.0
LN_000026,Technology,0.01168,0.5258,3939298.0,2903837.0,3939298.0
LN_000027,Technology,0.00798,0.32,1856166.0,1108554.0,1856166.0
LN_000028,Technology,0.02991,0.4915,430294.0,376810.0,430294.0
LN_000029,Technology,0.0161,0.4967,12651046.0,9414801.0,12651046.0
LN_000030,Technology,0.00604,0.6753,845798.0,677050.0,845798.0
LN_000031,Technology,0.01142,0.7948,2561167.0,2263549.0,2561167.0
LN_000032,Technology,0.01468,0.5003,2442538.0,1961020.0,2442538.0
LN_000033,Technology,0.01001,0.224,8202790.0,3594815.0,8202790.0
LN_000034,Technology,0.01548,0.6793,1268048.0,1116649.0,1268048.0
LN_000035,Technology,0.01064,0.5067,5480722.0,3723898.0,5480722.0
LN_000036,Technology,0.01536,0.3714,952426.0,602273.0,952426.0
LN_000037,Technology,0.02258,0.4923,6142772.0,4347854.0,6142772.0
LN_000038,Technology,0.00785,0.5361,932545.0,558105.0,932545.0
LN_000039,Technology,0.01218,0.5085,1392274.0,951785.0,1392274.0
LN_000040,Technology,0.00873,0.4533,13317963.0,8221140.0,13317963.0
LN_000041,Technology,0.01172,0.4925,2745927.0,1965893.0,2745927.0
LN_000042,technology,0.00608,0.6812,2232018.0,1534478.0,2232018.0
LN_000043,Techno logy,0.00823,0.5613,18825201.0,14678204.0,18825201.0
LN_000044,Technology,0.00997,0.4503,2870551.0,1926391.0,2870551.0
LN_000045,Technology,1.72%,0.3513,884272.0,560838.0,884272.0
LN_000046,Technology,0.0195,0.647,4169413.0,3282880.0,4169413.0
LN_000047,Technology,0.00568,0.4859,613525.0,375435.0,613525.0
LN_000048,Technology,0.00739,0.4288,6180899.0,3546007.0,6180899.0
LN_000049,Technology,0.0152,0.2369,6680046.0,3635717.0,6680046.0
LN_000050,Technology,0.00406,0.4316,1127709.0,690233.0,1127709.0
LN_000051,Technology,0.00873,0.3956,1067421.0,652269.0,1067421.0
LN_000052,Technology,0.01048,0.3064,2386079.0,1218532.0,2386079.0
LN_000053,Technology,0.02062,0.6316,2028512.0,1638675.0,2028512.0
LN_000054,Technology,0.01553,0.5319,752360.0,519901.0,752360.0
LN_000055,Technology,0.00934,0.3462,3529778.0,2133527.0,3529778.0
LN_000056,Technology,0.00915,0.6346,259570.0,219898.0,259570.0
LN_000057,Technology,0.00971,0.3344,1297303.0,808751.0,1297303.0
LN_000058,Technology,N/A,0.5706,1335367.0,1054334.0,1335367.0
LN_000059,Technology,0.00888,0.4396,1521781.0,857992.0,1521781.0
LN_000060,Technology,0.00945,0.5405,2719291.0,1721903.0,2719291.0
LN_000061,Technology,--,0.1563,585742.0,252084.0,585742.0
LN_000062,Technology,0.01036,0.6254,3602623.0,2854634.0,3602623.0
LN_000063,Technology,0.00997,0.5819,1670283.0,1155145.0,1670283.0
LN_000064,Technology,0.0063,0.6785,1043866.0,797664.0,1043866.0
LN_000065,Technology,0.01094,0.4889,509829.0,333139.0,509829.0
LN_000066,Technology,0.00881,0.4031,612650.0,385435.0,612650.0
LN_000067,Technology,0.01971,0.2993,2867590.0,2015744.0,2867590.0
LN_000068,Technology,0.01525,0.285,762844.0,430225.0,762844.0
LN_000069,Technology,0.01087,0.474,2132609.0,1405075.0,2132609.0
LN_000070,Technology,0.01536,0.3788,5784200.0,3529705.0,5784200.0
LN_000071,Technology,0.00928,0.6651,5616956.0,4579178.0,5616956.0
LN_000072,Technology,0.01861,0.4403,"9,521,421",6213547.0,9521421.0
LN_000073,Technology,0.01097,0.3212,1487139.0,796862.0,1487139.0
LN_000074,Tech,0.01473,0.657,675703.0,493469.0,675703.0
LN_000075,Technology,0.00577,0.4747,5549305.0,3192256.0,5549305.0
LN_000076,Technology,0.01308,0.5753,2725770.0,2094663.0,2725770.0
LN_000077,Technology,0.00473,0.3954,6153973.0,4457241.0,6153973.0
LN_000078,Technology,0.00398,0.5635,2022235.0,1282083.0,2022235.0
LN_000079,Technology,0.00945,0.3886,6611385.0,4416391.0,6611385.0
LN_000080,Technology,0.00701,0.3935,"4,662,420",2895727.0,4662420.0
LN_000081,Technology,0.01194,0.2008,4094187.0,1952849.0,4094187.0
LN_000082,Technology,0.03379,0.3086,3309080.0,2344996.0,3309080.0
LN_000083,Technology,0.00726,0.4113,2976792.0,1810171.0,2976792.0
LN_000084,Technology,0.00805,0.2962,2524853.0,1329844.0,2524853.0
LN_000085,Technology,0.01219,0.644,2506916.0,2190737.0,2506916.0
LN_000086,Technology,0.01408,0.4118,5383516.0,3045138.0,5383516.0
LN_000087,Technology,0.01007,0.3819,1198616.0,766536.0,1198616.0
LN_000088,Technology,0.00992,0.7123,11345626.0,9279521.0,11345626.0
LN_000089,Technology,0.01563,0.3476,1798413.0,1089812.0,1798413.0
LN_000090,Techno logy,0.01427,0.4213,5357671.0,3615404.0,5357671.0
LN_000091,Technology,0.00656,0.4732,1827422.0,1267335.0,1827422.0
LN_000092,Technology,0.01057,0.5639,1562803.0,1142777.0,1562803.0
LN_000093,Technology,0.0112,0.6388,15262345.0,12048160.0,15262345.0
LN_000094,Technology,0.00649,0.5449,1467855.0,1061702.0,1467855.0
LN_000095,Technology,0.01253,0.4317,557624.0,312824.0,557624.0
LN_000096,Technology,0.00716,0.5159,979283.0,735105.0,979283.0
LN_000097,Technology,0.01788,0.2099,1456329.0,1000006.0,1456329.0
LN_000098,Technology,0.01211,0.4048,"17,259,091",11983748.0,17259091.0
LN_000099,Technology,0.0115,0.4503,2459365.0,1764216.0,2459365.0
LN_000100,Technology,,0.6355,5092967.0,3454324.0,5092967.0
LN_000101,Technology,0.01037,0.7035,734583.0,582690.0,734583.0
LN_000102,Technology,0.00405,0.4332,2845547.0,1627551.0,2845547.0
LN_000103,Technology,0.00625,0.6441,3914257.0,2788485.0,3914257.0
LN_000104,Technology,0.01319,0.4368,12118996.0,8698136.0,12118996.0
LN_000105,Technology,0.00379,0.3979,996882.0,549719.0,996882.0
LN_000106,Technology,0.0168,0.5623,3656976.0,2755764.0,3656976.0
LN_000107,Technology,0.00459,0.4312,2706702.0,1405635.0,2706702.0
LN_000108,Technology,0.01606,0.4253,719954.0,484045.0,719954.0
LN_000109,Technology,0.00721,0.473,1961464.0,1290473.0,1961464.0
LN_000110,Technology,1.62%,0.579,1536754.0,1122806.0,1536754.0
LN_000111,Technology,0.01174,0.3605,195495.0,113919.0,195495.0
LN_000112,technology,0.0051,0.337,3639391.0,2403033.0,3639391.0
LN_000113,Technology,0.02054,0.3138,3432849.0,2009355.0,3432849.0
LN_000114,Technology,0.02262,0.4539,1289446.0,880488.0,1289446.0
LN_000115,Technology,0.01064,0.2811,524445.0,276923.0,524445.0
LN_000116,Technology,0.00959,0.3742,8784845.0,5914705.0,8784845.0
LN_000117,Technology,0.01015,0.5576,2609468.0,2146790.0,2609468.0
LN_000118,Technology,0.00676,0.6158,5528124.0,4123004.0,5528124.0
LN_000119,Technology,1.91%,0.7147,8194547.0,6732076.0,8194547.0
LN_000120,Technology,0.00839,0.5869,1187963.0,833624.0,1187963.0
LN_000121,Technology,0.01072,0.6879,4505513.0,3811387.0,4505513.0
LN_000122,Technology,0.0074,0.5257,1571449.0,1002500.0,1571449.0
LN_000123,Technology,0.00804,0.6076,1878735.0,1512527.0,1878735.0
LN_000124,Technology,0.00581,0.5847,1835894.0,1426921.0,1835894.0
LN_000125,Technology,0.02062,0.7872,1997364.0,1818037.0,1997364.0
LN_000126,Technology,0.01018,0.3773,6092798.0,3965843.0,6092798.0
LN_000127,Technology,0.01783,0.4948,2263641.0,1735359.0,2263641.0
LN_000128,Technology,1.11%,0.5608,1715002.0,1376418.0,1715002.0
LN_000129,Technology,0.00777,0.3533,1516811.0,816626.0,1516811.0
LN_000130,Technology,0.00934,0.4824,2813590.0,2055115.0,2813590.0
LN_000131,Technology,0.00831,0.4882,817323.0,530962.0,817323.0
LN_000132,Technology,0.01104,0.331,1209841.0,677442.0,1209841.0
